"Cause","Date","Location","Suicides"
"SI/DSH",2015,"North.West",0
"SI/SA",2015,"North.West",0
"SI/SA/DSH",2015,"North.West",0
"DNAA",2016,"North.West",0
"DSH",2016,"North.West",0
"SA Only",2016,"North.West",0
"SA/DSH",2016,"North.West",0
"SI Only",2016,"North.West",0
"SI/DSH",2016,"North.West",0
"SI/SA",2016,"North.West",0
"SI/SA/DSH",2016,"North.West",0
"DNAA",2017,"North.West",23
"DSH",2017,"North.West",7
"SA Only",2017,"North.West",3
"SA/DSH",2017,"North.West",0
"SI Only",2017,"North.West",52
"SI/DSH",2017,"North.West",29
"SI/SA",2017,"North.West",19
"SI/SA/DSH",2017,"North.West",8
"DNAA",2013,"Midlands",0
"DSH ",2013,"Midlands",0
"SA Only",2013,"Midlands",0
"SA/DSH",2013,"Midlands",0
"SI Only",2013,"Midlands",0
"SI/DSH",2013,"Midlands",0
"SI/SA",2013,"Midlands",0
"SI/SA/DSH",2013,"Midlands",0
"DNAA",2014,"Midlands",0
"DSH ",2014,"Midlands",0
"SA Only",2014,"Midlands",0
"SA/DSH",2014,"Midlands",0
"SI Only",2014,"Midlands",0
"SI/DSH",2014,"Midlands",0
"SI/SA",2014,"Midlands",0
"SI/SA/DSH",2014,"Midlands",0
"DNAA",2015,"Midlands",0
"DSH",2015,"Midlands",0
"SA Only",2015,"Midlands",0
"SA/DSH",2015,"Midlands",0
"SI Only",2015,"Midlands",0
"SI/DSH",2015,"Midlands",0
"SI/SA",2015,"Midlands",0
"SI/SA/DSH",2015,"Midlands",0
"DNAA",2016,"Midlands",0
"DSH",2016,"Midlands",0
"SA Only",2016,"Midlands",0
"SA/DSH",2016,"Midlands",0
"SI Only",2016,"Midlands",0
"SI/DSH",2016,"Midlands",0
"SI/SA",2016,"Midlands",0
"SI/SA/DSH",2016,"Midlands",0
"DNAA",2017,"Midlands",7
"DSH",2017,"Midlands",6
"SA Only",2017,"Midlands",1
"SA/DSH",2017,"Midlands",0
"SI Only",2017,"Midlands",6
"SI/DSH",2017,"Midlands",9
"SI/SA",2017,"Midlands",9
"SI/SA/DSH",2017,"Midlands",15
